UID          PID    PPID  C STIME TTY          TIME CMD
derek       1234     681  0 22:08 ?        00:00:00 /usr/libexec/gsd-power
derek       1235     681  0 22:08 ?        00:00:00 /usr/libexec/gsd-print-notifications
derek       1236     681  0 22:08 ?        00:00:00 /usr/libexec/gsd-rfkill
derek       1237     681  0 22:08 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
derek       1245     681  0 22:08 ?        00:00:00 /usr/libexec/gsd-sharing
derek       1251     681  0 22:08 ?        00:00:00 /usr/libexec/gsd-smartcard
derek       1257     681  0 22:08 ?        00:00:00 /usr/libexec/gsd-sound
derek       1258     681  0 22:08 ?        00:00:00 /usr/libexec/gsd-usb-protection
derek       1262     681  0 22:08 ?        00:00:00 /usr/libexec/gsd-wacom
derek       1264     681  0 22:08 ?        00:00:00 /usr/libexec/gsd-wwan
derek       1274     681  0 22:08 ?        00:00:00 /usr/libexec/gsd-xsettings
derek       1281     681  0 22:08 ?        00:00:00 /usr/libexec/gsd-printer
derek       1292    1063  0 22:08 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
derek       1314    1063  0 22:08 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
colord      1331       1  0 22:08 ?        00:00:00 /usr/libexec/colord
derek       1350    1117  0 22:08 ?        00:00:00 /usr/libexec/ibus-engine-simple
derek       1431     681  0 22:08 ?        00:00:00 /usr/libexec/gvfsd-metadata
derek       1529    1063  0 22:09 ?        00:00:00 update-notifier
derek       1777     681  0 22:15 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
derek       1781     681  0 22:15 ?        00:00:01 /usr/libexec/gnome-terminal-server
derek       1782     681  0 22:15 ?        00:00:00 /usr/bin/seahorse --gapplication-service
derek       1850    1781  0 22:15 pts/0    00:00:00 bash
root        1905       2  0 22:21 ?        00:00:00 [kworker/u2:1-events_power_efficient]
root        1964       2  0 22:26 ?        00:00:00 [kworker/0:1-events]
root        1966       2  0 22:27 ?        00:00:00 [kworker/u2:2-events_unbound]
root        3506       1  0 22:27 ?        00:00:00 /usr/lib/packagekit/packagekitd
derek       4098    1850  0 22:30 pts/0    00:00:00 ps -ef
